symbol,market,asset_type,trade_date,open,high,low,close,prev_close,volume,amount,pct_change,ret_1d,log_ret_1d,quality_flag,ingest_time,data_version
3690.HK,HK,equity,2024-11-27,165.8,176.8,163.7,176.2,164.3,41736756.0,7166659546.35,0.07242848447961037,0.07242848447961037,0.06992568845885665,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-28,176.9,176.9,170.7,172.2,176.2,24252235.0,4190326377.49,-0.022701475595913734,-0.022701475595913734,-0.022963121508448706,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-29,171.1,177.0,165.2,168.7,172.2,40356999.0,6881047881.6,-0.020325203252032575,-0.020325203252032575,-0.020534602441707864,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-02,160.0,169.2,159.9,167.4,168.7,66398327.0,10916901728.2,-0.007705986959098854,-0.007705986959098854,-0.007735831496547532,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-03,167.2,167.3,160.7,165.5,167.4,41771143.0,6842320339.0,-0.011350059737156526,-0.011350059737156526,-0.011414963238257369,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-04,166.3,170.6,164.8,165.2,165.5,32453687.0,5408164672.68,-0.0018126888217523396,-0.0018126888217523396,-0.0018143337302399746,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-05,162.8,163.3,157.0,159.2,165.2,46562493.0,7426508317.2,-0.03631961259079908,-0.03631961259079908,-0.036995587676595096,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-06,160.8,163.7,156.9,162.4,159.2,63874792.0,10264621427.06,0.0201005025125629,0.0201005025125629,0.01990115431729502,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-09,159.0,172.5,158.9,171.7,162.4,58871653.0,9736726223.6,0.05726600985221664,0.05726600985221664,0.05568634017585217,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-10,182.0,182.9,171.0,171.8,171.7,70828812.0,12496546941.2,0.0005824111822947398,0.0005824111822947398,0.0005822416467251893,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-11,172.1,175.2,165.4,167.0,171.8,29501888.0,4990135019.7,-0.0279394644935973,-0.0279394644935973,-0.028337197133399984,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-12,169.0,173.0,163.2,168.9,167.0,39912261.0,6705027452.44,0.011377245508982003,0.011377245508982003,0.01131301139699925,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-13,165.0,165.8,161.6,162.6,168.9,37180662.0,6070473166.2,-0.03730017761989346,-0.03730017761989346,-0.038013626700044205,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-16,161.6,162.7,158.2,159.6,162.6,27168729.0,4338973425.5,-0.01845018450184499,-0.01845018450184499,-0.0186225120980018,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-17,156.9,164.8,155.6,158.6,159.6,33855934.0,5379055022.4,-0.006265664160400974,-0.006265664160400974,-0.006285375814960753,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-18,164.8,164.8,159.2,160.1,158.6,18611465.0,2988467839.86,0.009457755359394637,0.009457755359394637,0.009413310801921326,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-19,157.3,159.2,156.4,158.4,160.1,20597561.0,3253411009.9,-0.010618363522798213,-0.010618363522798213,-0.010675140622343484,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-20,158.0,161.2,157.3,158.6,158.4,34086217.0,5418177427.82,0.0012626262626262985,0.0012626262626262985,0.0012618298204221654,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-23,161.2,161.5,153.6,155.6,158.6,31530269.0,4905774443.89,-0.018915510718789386,-0.018915510718789386,-0.01909669745645636,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-24,156.8,157.3,153.1,155.1,155.6,20197571.0,3115123333.52,-0.0032133676092545027,-0.0032133676092545027,-0.0032185415617980934,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-27,153.1,157.0,151.6,154.7,155.1,23550112.0,3640007686.819,-0.0025789813023855412,-0.0025789813023855412,-0.0025823126034726844,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-30,155.9,156.6,151.4,152.8,154.7,25450241.0,3893607693.3,-0.012281835811247421,-0.012281835811247421,-0.012357880846600163,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-12-31,152.7,154.8,151.7,151.7,152.8,11665658.0,1783303292.3,-0.007198952879581277,-0.007198952879581277,-0.00722499037793368,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-02,151.7,154.3,148.4,150.6,151.7,28715165.0,4322192014.5,-0.007251153592616966,-0.007251153592616966,-0.00727757098869332,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-03,151.3,155.7,148.8,153.7,150.6,30511065.0,4665644080.7,0.02058432934926957,0.02058432934926957,0.020375335178756955,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-06,153.8,153.8,148.4,150.7,153.7,27783624.0,4169062743.18,-0.01951854261548469,-0.01951854261548469,-0.019711544912100382,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-07,150.7,152.8,145.8,148.7,150.7,30932550.0,4601183930.8,-0.013271400132713995,-0.013271400132713995,-0.01336025216634038,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-08,148.9,149.1,143.9,146.7,148.7,25790556.0,3767426622.2,-0.01344989912575656,-0.01344989912575656,-0.01354116831717336,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-09,145.9,146.8,142.5,144.4,146.7,26551311.0,3827119336.5,-0.015678254942058545,-0.015678254942058545,-0.0158024586902101,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-10,146.1,146.4,139.0,140.1,144.4,30901748.0,4361305500.3,-0.02977839335180066,-0.02977839335180066,-0.030230773115764643,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-13,139.0,139.0,133.5,137.4,140.1,37818018.0,5143929719.25,-0.01927194860813697,-0.01927194860813697,-0.019460073554712274,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-14,138.8,146.7,138.1,144.3,137.4,58761811.0,8450457857.37,0.05021834061135366,0.05021834061135366,0.04899808599157617,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-15,143.3,146.0,141.2,144.5,144.3,29515844.0,4258124537.7,0.001386001386001201,0.001386001386001201,0.0013850417726614787,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-16,146.7,150.5,144.5,147.6,144.5,37707184.0,5562490982.21,0.02145328719723172,0.02145328719723172,0.02122640461388516,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-17,148.2,149.1,145.0,147.8,147.6,20474850.0,3013558783.4,0.0013550135501356753,0.0013550135501356753,0.0013540963477294517,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-20,151.0,158.8,150.6,155.5,147.8,62838210.0,9774753994.17,0.05209742895805136,0.05209742895805136,0.05078572310518737,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-21,159.7,160.4,155.0,158.5,155.5,41021524.0,6497398959.5,0.019292604501607746,0.019292604501607746,0.019108861698046507,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2025-01-22,157.5,157.5,151.3,152.5,158.5,39709233.0,6079426128.42,-0.03785488958990535,-0.03785488958990535,-0.038589997269868975,PASS,2026-04-20T12:14:39Z,D20260420.01
